"A Gotsman, H Yang, C Ferreira, M Najafzadeh, ...",Cause I'm strong enough: Reasoning about consistency choices in distributed systems,2016
"C Flanagan, S Graf, M Parthasarathy, ...",09361 Abstracts Collection--Design and Validation of Concurrent Systems,2010
"R Hähnle, M Huisman",24 Challenges in Deductive Software Verification.,2017
R Bedbur,5. Oktober 2011,2011
"K Asanovic, V Arvind, S Devadas, JC Hoe","6.823 Computer System Architecture, Spring 2002",2002
"A Blanchard, N Kosmatov, F Loulergue",A CHR-Based Solver for Weak Memory Behaviors.,2016
"M Teragni, G Zabala, S Blanco",A Cloud Powered Relaxed Heterogeneous Distributed Shared Memory System,2018
"S Brookes, R Kavanagh",A Denotational Semantics for SPARC TSO,2019
"B Van Assche, EH D'Hollander",A Framework for the Investigation of Shared Memory Systems1,2000
"J Alglave, A Mahboubi",A Generic Formalised Framework for Reasoning About Weak Memory Models,2011
"M Lobosco, C Amorim, O Loques",A Java environment for high-performance computing,2001
"S Bijo, EB Johnsen, KI Pun, SLT Tarifa",A Maude framework for cache coherent multicore architectures,2016
"RN Zuckery, JL Baer",A Performance Study of Memory Consistency Models3,1992
"V Nagarajan, DJ Sorin, MD Hill, ...",A Primer on Memory Consistency and Cache Coherence,2020
"G Li, G Gopalakrishnan, K Slind",A SAT-BASED BOUNDED MODEL CHECKER FOR CONCURRENT ASSEMBLY PROGRAMS,
"J Pichon-Pharabod, F Sieczkowski, L Birkedal, ...",A Separation Logic for Fictional Sequential Consistency,2019
V Vafeiadis,A Separation Logic for a Promising Semantics,2018
T Matsumoto,A Study on Memory-Based Communications and Synchronization in Distributed-Memory Systems,1994
G Cong,A Study on the Impact of Memory Consistency Models on Parallel Algorithms for Shared-Memory Multiprocessors,2005
"A Shukla, A Biere, L Pulina, ...",A Survey on Applications of Quantified Boolean Formulas,2019
"LM Inria, S Sarkar, P Sewell",A Tutorial Introduction to the ARM and POWER Relaxed Memory Models,2012
"P Maleehuan, Y Chiba, T Aoki",A Verification Framework for Assembly Programs Under Relaxed Memory Model Using SMT Solver,2018
"S Owens, S Sarkar, P Sewell",A better x86 memory model: x86-TSO,2009
"S Owens, S Sarkar, P Sewell",A better x86 memory model: x86-TSO (extended version),2009
"K Crary, MJ Sullivan",A calculus for relaxed memory,2015
"D Marino, A Singh, T Millstein, M Musuvathi, ...",A case for an SC-preserving compiler,2011
"A Blanchard, N Kosmatov, M Lemerre, ...",A case study on formal verification of the anaxagoros hypervisor paging system with frama-C,2015
"Y Yi, T Park, HY Yeom",A causal logging scheme for lazy release consistent distributed shared memory systems,1998
"S Karlsson, M Brorsson",A comparative characterization of communication patterns in applications using MPI and shared memory on an IBM SP2,1998
"SV Adve, AL Cox, S Dwarkadas, ...",A comparison of entry consistency and lazy release consistency implementations,1996
"J Pichon-Pharabod, P Sewell",A concurrency semantics for relaxed atomics that permits optimisation and avoids thin-air executions,2016
"W Mansky, E Gunter",A cross-language framework for verifying compiler optimizations,2014
"R Kavanagh, S Brookes",A denotational semantics for SPARC TSO,2018
S Brookes,A denotational semantics for weak memory concurrency,2016
"B Wilkinson, T Pai, M Miraj",A distributed shared memory programming course,2001
J Alglave,A formal hierarchy of weak memory models,2012
"S Bijo, EB Johnsen, KI Pun, SLT Tarifa",A formal model of data access for multicore architectures with multilevel caches,2019
"S Bijo, EB Johnsen, KI Pun, SLT Tarifa",A formal model of parallel execution on multicore architectures with multilevel caches,2017
"Z Hou, D Sanan, A Tiu, Y Liu, JS Dong",A formalisation of the SPARC TSO memory model for multi-core machine code,2019
"J Derrick, G Smith",A framework for correctness criteria on weak memory models,2015
"T Abe, T Maeda",A general model checking framework for various memory consistency models,2017
"Y Yang, G Gopalakrishnan, G Lindstrom",A generic operational memory model specification framework for multithreaded program verification,2003
"RJ Colvin, G Smith",A high-level operational semantics for hardware weak memory models,2018
"B Dongol, O Travkin, J Derrick, H Wehrheim",A high-level semantics for program execution under total store order memory,2013
"K Matsumoto, T Ugawa, T Abe",A library of memory access instructions under relaxed memory models for SPIN,2016
"PA Abdulla, MF Atig, A Bouajjani, TP Ngo",A load-buffer semantics for total store ordering,2017
M Takesue,A model of pipelined mutual exclusion on cache-coherent multiprocessors,2003
"F Pong, M Dubois",A new approach for the verification of cache coherence protocols,1995
"M Lobosco, A Silva, O Loques, ...",A new distributed JVM for cluster computing,2003
"CC Wu, C Chen",A new relaxed memory consistency model for shared-memory multiprocessors with parallel-multithreaded processing elements,1998
JYA Pichon-Pharabod,A no-thin-air memory model for programming languages,2018
