M Müller-Olm,10. Conclusion,2006
M Philippsen,11 DATA PARALLELISM IN JAVA,2012
"V Abikhattar, L Arditi, O Ponsini, S Shoaraee",A CP-based system for checking and generating memory consistency tests,
MGY Wiseman,A Common Framework for Inter-Process Communication on a Cluster,
"E Speziale, M Tartara",A Lightweight Approach to Compiling and Scheduling Highly Dynamic Parallel Programs,
"RY Hwang, ZZ Zeng",A New Synchronization Scheme for Memory Consistency Model,2000
"CBM Rinard, C Boyapati",A Parameterized Type System for Race-Free Java Programs,2001
"V Nagarajan, DJ Sorin, MD Hill, ...",A Primer on Memory Consistency and Cache Coherence,2020
"C Chen, JB Manzano, G Gan, GR Gao, V Sarkar",A Study of Different Instantiations of the OpenMP Memory Model and Their Software Cache Implementations,2009
"G Anderson, D Pym",A calculus and logic of bunched resources and processes,2016
"M Geva, Y Wiseman",A common framework for inter-process communication on a cluster,2004
"SP Marti, JS Borras, PL Rodriguez, ...",A complexity-effective out-of-order retirement microarchitecture,2009
H Shing,A conflict-free memory design for multiprocessors,1992
"A Ros, A Jimborean",A dual-consistency cache coherence protocol,2015
J Alglave,A formal hierarchy of weak memory models,2012
"Y Xing, BY Huang, A Gupta, S Malik",A formal instruction-level GPU model for scalable verification,2018
A Sivasubramaniam,A framework for evaluating architectural issues of parallel systems,1995
N Piggin,A lockless page cache in linux,2006
"U Ramachandran, ...",A measurement‐based study of hardware support for object invocation,1989
"C Boyapati, M Rinard",A parameterized type system for race-free Java programs,2001
"P Pirkelbauer, R Milewicz, JF Gonzalez",A portable lock-free bounded queue,2016
"S Frenz, R Lottiaux, M Schoettner, C Morin, ...",A practical comparison of cluster operating systems implementing sequential and transactional consistency,2005
RL Kennell,A practical method for authentication of remote computer systems,2008
"DJ Sorin, MD Hill, DA Wood",A primer on memory consistency and cache coherence,2011
"G Gao, JN Amaral, A Marquez, K Theobald",A refinement of the HTMT program execution model,1998
"J Wang, L Jiang, J Ke, X Liang, N Jing",A sharing-aware L1. 5D cache for data reuse in GPGPUs,2019
"P Permandla, M Roberson, C Boyapati",A type system for preventing data races and deadlocks in the java virtual machine language: 1,2007
"N Bhardwaj, M Senftleben, K Schneider",Abacus: A processor family for education,2014
"H Dogan, F Hijaz, M Ahmad, B Kahne, ...",Accelerating graph and machine learning workloads using a shared memory multicore architecture with auxiliary support for in-hardware explicit messaging,2017
"Y Zhang, G Xiao, T Baba",Accelerating sequential programs on commodity multi-core processors,2014
"AM Mainwaring, DE Culler",Active Message applications programming interface and communication subsystem organization,1996
D Page,Advanced Processor Design,2009
H Sarbazi-Azad,Advances in GPU research and practice,2016
V Luchangco,Against lock-based semantics for transactional memory,2008
"G Cabon, D Cachera, D Pichardie",An Extended Buffered Memory Model With Full Reorderings,2016
WG Simoneau,"An FPGA-based platform for testing and analysis of microprocessor architectural techniques: Design, implementation, and use",2011
"J Lee, J Kim, J Kim, S Seo, J Lee",An OpenCL framework for homogeneous manycores with no hardware cache coherence,2011
"S Atzeni, G Gopalakrishnan",An Operational Semantic Basis for OpenMP Race Analysis,2017
"K Lu, X Zhou, XP Wang, T Bergan, C Chen",An efficient and flexible deterministic framework for multithreaded programs,2015
"I Cerrato, G Marchetto, F Risso, R Sisto, ...",An efficient data exchange algorithm for chained network functions,2014
"I Cerrato, G Marchetto, F Risso, R Sisto, ...",An efficient data exchange mechanism for chained network functions,2018
"S Manoochehri, B Goodarzi, ...",An efficient transaction-based GPU implementation of minimum spanning forest algorithm,2017
JC Connelly,An experimental comparison of scheduling policies on coarse-grain multiprocessors,1995
A SUSUNGI,Analyse et compila on de langages de programma on parallèle,2018
A Susungi,Analyse et compilation de langages de programmation parallèle,2018
A Susungi,Analysis and Compilation of Parallel Programming Languages,2018
"J Schaeffer, D Novillo, R Unrau",Analysis and Optimization of Explicitly Parallel Programs,1998
"D Novillo, RC Unrau, J Schaeffer",Analysis and optimization of explicitly parallel programs,2000
V Sarkar,Analysis and optimization of explicity parallel programs using the parallel program graph representation,1997
M Rinard,Analysis of multithreaded programs,2001
A Aggarwal,Analysis of the Hemingway multiple-writer implementation of release consistency for software distributed shared-memory systems.,1999
"V Sarkar, GR Gao",Analyzable atomic sections: Integrating fine-grained synchronization and weak consistency models for scalable parallelism,2004
"V Vojdani, K Apinis, S Saan",Approaches to Thread-Modular Static Analysis,
"B Grayson, C Chase",Architectural Support for Relaxed Memory Consistency Models Technical Report TR-PDS-1998-007,1998
"A Bhattacharjee, D Lustig",Architectural and operating system support for virtual memory,2017
JA Brown,Architectural support for efficient on-chip parallel execution,2010
CK YUEN,Architecture Inclusive Parallel Programming,2001
A Naeem,Architecture Support and Scalability Analysis of Memory Consistency Models in Network-on-Chip based Systems,2013
"M Berekovic, U Brinkschulte, W Fornaciari, C Silvano",Architecture of Computing Systems-ARCS 2011,2011
"M Berekovic, R Buchty, H Hamann, D Koch, T Pionteck","Architecture of Computing Systems–ARCS 2018: 31st International Conference, Braunschweig, Germany, April 9–12, 2018, Proceedings",2018
"A Naeem, A Jantsch, Z Lu",Architecture support and comparison of three memory consistency models in NoC based systems,2012
"RK Arimilli, RS Blackmore, C Kim, B Sinharoy, ...",Asynchronous memory move across physical nodes with dual-sided communication,2012
"PE McKenney, D Sarma, M Soni",Atomic renaming and moving of data files while permitting lock-free look-ups,2008
"PE McKenney, D Sarma, M Soni",Atomic renaming and moving of data files while permitting lock-free look-ups,2011
"Y Zhang, J Manzano",Atomic section: Concept and implementation,2005
"PE McKenney, OY Krieger, D Sarma, M Soni",Atomically moving list elements between lists using read-copy update,2011
"P McKenney, O Krieger, D Sarma, ...",Atomically moving list elements between lists using read-copy update,2006
"P Kumar, D Kumar",Automated Verification of Memory Consistencies of DSM System on Unified Framework,2012
"B Kasikci, C Zamfir, G Candea",Automated classification of data races under both strong and weak memory models,2015
F Jubair,Automatic translation of non-repetitive OpenMP to MPI,2014
AJ Collins,Automatically Optimising Parallel Skeletons,2011
"J Wang, K Zhang, X Tang, B Hua",B-queue: efficient and practical queuing for fast core-to-core communication,2013
"G Milman, A Kogan, Y Lev, V Luchangco, ...",BQ: A lock-free queue with batching,2018
"C Ball, M Bull",Barrier synchronisation in java,2003
"C Ding, C Zhang, X Shen, R Huang, C Tice, K Kelsey",Behavior-oriented parallelization,2006
"CG Ritson, S Owens",Benchmarking weak memory models,2016
"L Higham, J Kawash",Bounds for mutual exclusion with only processor consistency,2000
"A Podkopaev, O Lahav, V Vafeiadis",Bridging the gap between programming languages and hardware weak memory models,2019
"J Kawash, L Higham",Brief Announcement: Memory Consistency and Process Coordination for SPARC v8 Multiprocessors,2000
"M Pöter, JL Träff","Brief Announcement: Stamp-it, a More Thread-efficient, Concurrent Memory Reclamation Scheme in the C++ Memory Model",2018
A Polze,Building Blocks for Achieving Quality of Service with Commercial Off-the-Shelf (COTS) Middleware,1999
"JB Manzano, Y Zhang, GR Gao",CAPSL Technical Memo 61,2005
