Authors,Title,Year
"D Schwartz-Narbonne, G Weissenbacher, S Malik",""" Offizielle"" elektronische Version der Publikation (entsprechend ihrem Digital Object Identifier-DOI)",
"H Yang, A Gotsman, C Ferreira, M Shapiro",Cause I'm Strong Enough: Reasoning about consistency choices in distributed systems,2016
"A Gotsman, H Yang, C Ferreira, M Najafzadeh, ...",Cause I'm strong enough: Reasoning about consistency choices in distributed systems,2016
J Dunfield,1 Lλ (big-step),2018
"R Hähnle, M Huisman",24 Challenges in Deductive Software Verification.,2017
"A Bieniusa, HJ Boehm, M Herlihy, ...",3.30 Sequential consistency considered harmful,2018
V Vafeiadis,3.30 Sequential consistency considered harmful,
"B Allan, N Kosmatov, F Loulergue",A CHR-Based Solver for Weak Memory Behaviors,2016
"A Blanchard, N Kosmatov, F Loulergue",A CHR-Based Solver for Weak Memory Behaviors.,2016
"V Abikhattar, L Arditi, O Ponsini, S Shoaraee",A CP-based system for checking and generating memory consistency tests,
"JJ Carrig Jr, GGL Meyer",A Computational Model for a Class of Synchronized Distributed Memory Machines,1995
"L Hadarean, A Horn, T King",A Concurrency Problem with Exponential DPLL (T) Proofs,2015
"S Brookes, R Kavanagh",A Denotational Semantics for SPARC TSO,2019
"GAG Andrade, M Graf, N Pfeifer, ...",A Directed Test Generator for Shared-Memory Verification of Multicore Chip Designs,2020
"P Chini, P Saivasan",A Framework for Consistency Algorithms,2020
"J Alglave, A Mahboubi",A Generic Formalised Framework for Reasoning About Weak Memory Models,2011
"TP Ngo, A Bouajjani, MF Atig, ...",A Load-Buffer Semantics for Total Store Ordering,2018
"S Bijo, EB Johnsen, KI Pun, SLT Tarifa",A Maude framework for cache coherent multicore architectures,2016
"K Etessami, P Godefroid",A Model of Transactional Programming,
V Vafeiadis,A Separation Logic for a Promising Semantics,2018
M HASHIMOTO,A Survey of Security Research for Operating Systems,
"Q Jiang, J Liu, H Hu",A Thread Modularity Approach for Verification Concurrent Software Based on Abstract Interpretation,2018
"L Fajstrup, E Goubault, E Haucourt, S Mimram, ...",A Toy Language for Concurrency,2016
"P Maleehuan, Y Chiba, T Aoki",A Verification Framework for Assembly Programs Under Relaxed Memory Model Using SMT Solver,2018
"E Cohen, N Schirmer",A better reduction theorem for store buffers,2009
"S Owens, S Sarkar, P Sewell",A better x86 memory model: x86-TSO,2009
"S Owens, S Sarkar, P Sewell",A better x86 memory model: x86-TSO (extended version),2009
"G Anderson, D Pym",A calculus and logic of bunched resources and processes,2016
"K Crary, MJ Sullivan",A calculus for relaxed memory,2015
"A Blanchard, N Kosmatov, M Lemerre, ...",A case study on formal verification of the anaxagoros hypervisor paging system with frama-C,2015
"T Ehrhard, Y Jiang",A dendroidal process calculus,2015
"R Kavanagh, S Brookes",A denotational account of C11-style memory,2018
"R Kavanagh, S Brookes",A denotational semantics for SPARC TSO,2018
S Brookes,A denotational semantics for weak memory concurrency,2016
"D Lustig, S Sahasrabuddhe, O Giroux",A formal analysis of the NVIDIA PTX memory consistency model,2019
J Alglave,A formal hierarchy of weak memory models,2012
"S Bijo, EB Johnsen, KI Pun, SLT Tarifa",A formal model of data access for multicore architectures with multilevel caches,2019
"S Bijo, EB Johnsen, KI Pun, SLT Tarifa",A formal model of parallel execution on multicore architectures with multilevel caches,2017
"Z Hou, D Sanan, A Tiu, Y Liu, JS Dong",A formalisation of the SPARC TSO memory model for multi-core machine code,2019
"J Bender, J Palsberg",A formalization of Java's concurrent access modes,2019
G Gopalakrishnan,"A formalization of test model-checking, completeness results, and case studies",2000
"J Derrick, G Smith",A framework for correctness criteria on weak memory models,2015
"A Cerone, G Bernardi, A Gotsman",A framework for transactional consistency models with atomic visibility,2015
"T Abe, T Maeda",A general model checking framework for various memory consistency models,2017
"Y Yang, G Gopalakrishnan, G Lindstrom",A generic operational memory model specification framework for multithreaded program verification,2003
P Ferrara,A generic static analyzer for multithreaded Java programs,2013
PJ Keleher,A high-level abstraction of shared accesses,2000
"RJ Colvin, G Smith",A high-level operational semantics for hardware weak memory models,2018
"B Dongol, O Travkin, J Derrick, H Wehrheim",A high-level semantics for program execution under total store order memory,2013
"PA Abdulla, MF Atig, A Bouajjani, TP Ngo",A load-buffer semantics for total store ordering,2017
"SO Mutluergil, S Tasiran",A mechanized refinement proof of the Chase–Lev deque using a proof system,2019
"B Norris, B Demsky",A practical approach for model checking C/C++ 11 code,2016
"M Doko, V Vafeiadis",A program logic for C11 memory fences,2016
"J Kang, CK Hur, O Lahav, V Vafeiadis, ...",A promising semantics for relaxed-memory concurrency,2017
"J Derrick, G Smith, L Groves, B Dongol",A proof method for linearizability on TSO architectures,2017
D Dice,A race in LockSupport park () arising from weak memory models (November 2009),
D Dice,A race in locksupport park () arising from weak memory models,2009
T Ridge,A rely-guarantee proof system for x86-TSO,2010
"K Svendsen, J Pichon-Pharabod, M Doko, ...",A separation logic for a promising semantics,2018
"J Pichon-Pharabod, K Svendsen, M Doko, O Lahav, ...",A separation logic for a promising semantics,2019
J Alglave,A shared memory poetics,2010
"G Smith, K Winter, RJ Colvin",A sound and complete definition of linearizability on weak memory models,2018
"G Smith, K Winter, RJ Colvin","A sound and complete definition of linearizability on weak memory models. ArXiv e-prints, February 2018",
"P Chatterjee, G Gopalakrishnan",A specification and verification framework for developing weak shared memory consistency protocols,2002
"S Hong, M Kim",A survey of race bug detection techniques for multithreaded programmes,2015
"PG Joisha, RS Schreiber, P Banerjee, ...",A technique for the effective and automatic reuse of classical compiler optimizations on multithreaded code,2011
"VA Saraswat, R Jagadeesan, M Michael, ...",A theory of memory models,2007
"G Calin, E Derevenetc, R Majumdar, ...",A theory of partitioned global address spaces,2013
"G Boudol, G Petri",A theory of speculative computation,2010
"L Maranget, S Sarkar, P Sewell",A tutorial introduction to the ARM and POWER relaxed memory models,2012
"A Linden, P Wolper",A verification-based approach to memory fence insertion in PSO memory systems,2013
"A Linden, P Wolper",A verification-based approach to memory fence insertion in relaxed memory systems,2011
T Abe,A verifier of directed acyclic graphs for model checking with memory consistency models,2017
"L Liu, T Millstein, M Musuvathi",A volatile-by-default JVM for server applications,2017
"RJ Colvin, G Smith",A wide-spectrum language for verification of programs on weak memory models,2018
"B Simner, S Flur, C Pulte, A Armstrong, ...",ARMv8-A system semantics: instruction fetch in relaxed architectures,2020
"B Simner, S Flur, C Pulte, A Armstrong, ...",ARMv8-A system semantics: instruction fetch in relaxed architectures (extended version)⋆,
"K Vora, SC Koduru, R Gupta",ASPIRE: exploiting asynchronous parallelism in iterative algorithms using a relaxed consistency based DSM,2014
"N Bhardwaj, M Senftleben, K Schneider",Abacus: A processor family for education,2014
"R Bornat, M Dodds",Abducing memory barriers,2012
"A Gotsman, M Dodds",Abstraction for Weakly Consistent Systems,
"P Chatterjee, H Sivaraj, ...",Abstraction/Refinement and Model Checking-Shared Memory Consistency Protocol Verification Against Weak Memory Models: Refinement via Model …,2002
"N Farooqui, I Roy, Y Chen, V Talwar, R Barik, ...",Accelerating Data Analytics on Integrated GPU Platforms via Runtime Specialization,2018
"L Gao, Y Xu, R Wang, H Yang, Z Luan, ...",Accelerating in-memory transaction processing using general purpose graphics processing units,2019
"V Kahlon, A Gupta",Accelerating model checking via synchrony,2012
"L Liu, T Millstein, M Musuvathi",Accelerating sequential consistency for Java with speculative compilation,2019
